attributes;image_url;unit;category;article;sale_price;price;name;url;weight
Белки: 1.7 ;/imgs/products_w/2356/ogurcy-solenye-kornishony---500-g-1.jpg;шт;Соленья;2356;;270;Огурцы соленые корнишоны ~ 500 г;ogurcy-solenye-kornishony---500-g.html;1
Белки: ;/imgs/products_w/11599/podarochnyy-nabor-kokosovoe-naslazhdenie-1.jpg;шт;Подарочные наборы;11599;;5100.9;Подарочный набор КОКОСОВОЕ НАСЛАЖДЕНИЕ;podarochnyy-nabor-kokosovoe-naslazhdenie.html;1
Белки: ;/imgs/products_w/2918/yayco-kurinoe-bio---10-sht--1.jpg;упак;Яйца и майонез;2918;;165.9;Яйцо куриное BIO - 10 шт.;yayco-kurinoe-bio---10-sht-.html;1
Белки: ;/imgs/products_w/12907/pomidory-rozovye-organic---850-g-1.jpg;кг;Овощи;12907;;502.86;Помидоры розовые Organic ~ 850 г;pomidory-rozovye-organic---850-g.html;0.85
Белки: 31,8;/imgs/products_w/13743/syr-maridzhano-iz-korovego-moloka-40----200-g-1.jpg;кг;Сыры ;13743;;348.9;Сыр Мариджано из коровьего молока 40% Ecomarket.ru ~ 200 г;syr-maridzhano-iz-korovego-moloka-40----200-g.html;0.2
Белки: ;/imgs/products_w/12478/shampun-rastitelnyy-originalnyy-silnoy-stepeni-uvlazhneniya-dlya-povrezhdennyh-volos-265-ml---origina-1.jpg;шт;Уход за волосами;12478;;1790.9;Шампунь Hempz растительный Оригинальный сильной степени увлажнения для поврежденных волос - 265 мл;shampun-rastitelnyy-originalnyy-silnoy-stepeni-uvlazhneniya-dlya-povrezhdennyh-volos-265-ml---origina.html;1
Белки: ;/imgs/products_w/12479/kondicioner-rastitelnyy-originalnyy-dlya-povrezhdennyh-okrashennyh-volos-265-ml--original-herbal-cond-1.jpg;шт;Уход за волосами;12479;;1790.9;Кондиционер Hempz растительный Оригинальный для поврежденных окрашенных волос - 265 мл;kondicioner-rastitelnyy-originalnyy-dlya-povrezhdennyh-okrashennyh-volos-265-ml--original-herbal-cond.html;1
Белки: ;/imgs/products_w/10195/3306356-gol-little-star-r0-nabor-suavinex-pervyy-nabor-little-star---butylochki-150ml-i-270ml--pust-1.jpg;шт;Аксессуары для детей;10195;;2999.5;"Набор ""Первый набор"" Little Star (бутылочки 150 мл и 270 мл, пустышка ""Basic"" 2-4мес), Suavinex";3306356-gol-little-star-r0-nabor-suavinex-pervyy-nabor-little-star---butylochki-150ml-i-270ml--pust.html;1
Белки: ;/imgs/products_w/10196/3306356-roz-love-r0-nabor-suavinex-pervyy-nabor-love--butylochki-150ml-i-270ml--pustyshka-basic-2--1.jpg;шт;Аксессуары для детей;10196;;2999.5;"Набор ""Первый набор"" Love (бутылочки 150 мл и 270 мл, пустышка ""Basic"" 2-4мес), Suavinex";3306356-roz-love-r0-nabor-suavinex-pervyy-nabor-love--butylochki-150ml-i-270ml--pustyshka-basic-2-.html;1
Белки: 10;/imgs/products_w/4569/kurinyy-pashtet-argeta---95-g-1.jpg;шт;Паштеты и консервы;4569;;119.9;Куриный паштет Argeta ~ 95 г;kurinyy-pashtet-argeta---95-g.html;1
Белки: ;/imgs/products_w/4069/zubnaya-schetka-bambukovaya-raduzhnaya-1.jpg;шт;Уход за полостью рта;4069;;145.9;Зубная щетка бамбуковая радужная Ecomarket.ru;zubnaya-schetka-bambukovaya-raduzhnaya-ecomarket-ru.html;1
Белки: 15,2;/imgs/products_w/10735/pasta-ohlazhdennaya-lingvini---200-g-1.jpeg;шт;Паста охлаждённая ;10735;;245.9;Паста охлажденная Лингвини Ecomarket.ru - 200 г;pasta-ohlazhdennaya-lingvini-ecomarket-ru---200-g.html;1
Белки: 0,7;/imgs/products_w/10485/brusnika-dikorastuschaya-b-z--300-g--1.jpg;шт;Фрукты и ягоды;10485;;183.5;Брусника дикорастущая зам. Ecomarket.ru  - 300 г;brusnika-dikorastuschaya-b-z--300-g-.html;1
Белки: 19;/imgs/products_w/14340/steyk-flet-ayron-ohl----600-g-1.JPG;кг;Говядина и баранина;14340;;1685;Стейк Флэт Айрон из мраморной говядины  охл. ~ 400 г;steyk-flet-ayron-iz-mramornoy-govyadiny--ohl----400-g.html;0.4
Белки: ;/imgs/products_w/13352/biologicheski-aktivnaya-dobavka-k-pische-botanik-pauer-shot-1.1631523824.jpg;шт;Суперфуды и протеины ;13352;;185.7;Биологически активная добавка к пище Ботаник Пауэр шот;biologicheski-aktivnaya-dobavka-k-pische-botanik-pauer-shot.html;1
Белки: 0.8 	;/imgs/products_w/2357/ogurcy-solenye---500-gr-1.1611829917.jpg;шт;Соленья;2357;;245;Огурцы соленые - 500 г;ogurcy-solenye---500-g.html;1
Белки: ;/imgs/products_w/11597/podarochnyy-nabor-babybox-1.jpg;шт;Подарочные наборы;11597;;4650.91;Подарочный набор BABYBOX;podarochnyy-nabor-babybox.html;1
Белки: 12,7;/imgs/products_w/353/yayco-kurinoe-korichnevoe--10-sht---1.jpg;упак;Яйца и майонез;353;;132;Яйцо куриное коричневое, мытое и дезинфицированное - 10 шт. в упаковке;yayco-kurinoe-korichnevoe--10-sht--.html;1
Белки: ;/imgs/products_w/13678/syrniki-iz-fermerskogo-tvoroga---290-g-1.JPG;шт;Ресторан Ecomarket;13678;;395.5;Сырники из фермерского творога - 290 г;syrniki-iz-fermerskogo-tvoroga---290-g.html;1
